# One row per (school, season) conference title: regular-season champion, or the
# title-game winner where a league staged one. Co-champions each get a full row;
# shared=1 flags a season that had 2+ champions. Distinct seasons per program are
# what the rating counts.
#
# Parsed from the NCAA "Conference Standings & Champions" book (ALL-TIME CONFERENCE
# CHAMPIONS). The book's definition is stricter than a program's own claimed count,
# so totals here run a little lower than the marketing numbers. The `conference`
# label is best-effort (the source's 3-column layout makes it noisy) — the school
# and year are reliable. A few programs the parse could not reach still use the
# summary fallback in _staging_summary_fallback.csv.
school,year,conference,shared
Clemson,1991,"ACC",0
Clemson,2011,"ACC",0
Clemson,2015,"ACC",0
Clemson,2016,"ACC",0
Clemson,2017,"ACC",0
Clemson,2018,"ACC",0
Clemson,2019,"ACC",0
Clemson,2020,"ACC",0
Clemson,2022,"ACC",0
Clemson,2024,"ACC",0
Coastal Carolina,2004,"ASUN",0
Coastal Carolina,2005,"ASUN",0
Coastal Carolina,2006,"ASUN",0
Coastal Carolina,2010,"ASUN",1
Coastal Carolina,2012,"ASUN",1
Coastal Carolina,2014,"ASUN",1
Coastal Carolina,2020,"Sun Belt",1
Colorado,1901,"Mountain States",0
Colorado,1902,"Mountain States",0
Colorado,1903,"Mountain States",0
Colorado,1910,"Mountain States",0
Colorado,1911,"Mountain States",0
Colorado,1913,"Mountain States",0
Colorado,1923,"Mountain States",0
Colorado,1924,"Mountain States",0
Colorado,1934,"Mountain States",1
Colorado,1935,"Mountain States",1
Colorado,1937,"Mountain States",0
Colorado,1939,"Mountain States",0
Colorado,1942,"Mountain States",1
Colorado,1943,"Mountain States",0
Colorado,1944,"Mountain States",0
Colorado,1961,"Big East",0
Colorado,1976,"Big East",1
Colorado,1989,"Big East",0
Colorado,1990,"Big East",0
Colorado,1991,"Big East",1
Colorado,2001,"Big 12",0
Colorado State,1915,"Mountain States",0
Colorado State,1916,"Mountain States",0
Colorado State,1919,"Mountain States",0
Colorado State,1920,"Mountain States",0
Colorado State,1925,"Mountain States",0
Colorado State,1927,"Mountain States",0
Colorado State,1933,"Mountain States",1
Colorado State,1934,"Mountain States",1
Colorado State,1955,"Mountain States",0
Colorado State,1994,"WAC",0
Colorado State,1995,"WAC",1
Colorado State,1997,"WAC",0
Colorado State,1999,"Mountain West",1
Colorado State,2000,"Mountain West",0
Colorado State,2002,"Mountain West",0
Delaware,1986,"WAC",1
Delaware,1988,"WAC",1
Delaware,1991,"WAC",1
Delaware,1992,"WAC",1
Delaware,1995,"WAC",1
Delaware,2000,"WAC",1
Delaware,2003,"WAC",1
Delaware,2004,"WAC",1
Delaware,2010,"ASUN",1
Delaware,2020,"ASUN",0
Duke,1933,"Southern",0
Duke,1935,"Southern",0
Duke,1936,"Southern",0
Duke,1938,"Southern",0
Duke,1941,"Southern",0
Duke,1943,"Southern",0
Duke,1944,"Southern",0
Duke,1945,"Southern",0
Duke,1952,"Southern",0
Duke,1953,"ACC",1
Duke,1954,"ACC",0
Duke,1955,"ACC",1
Duke,1960,"ACC",0
Duke,1961,"ACC",0
Duke,1962,"ACC",0
Duke,1989,"ACC",1
Duke,2025,"ACC",0
East Carolina,1966,"Southern",0
East Carolina,1972,"Southern",0
East Carolina,1973,"Southern",0
East Carolina,1976,"Southern",0
East Carolina,2008,"Big West",0
East Carolina,2009,"Big West",0
Eastern Michigan,1987,"MAC",0
FIU,2010,"Sun Belt",1
Florida,1991,"SEC",0
Florida,1994,"SEC",0
Florida,1995,"SEC",0
Florida,1996,"SEC",0
Florida,2000,"SEC",0
Florida,2006,"SEC",0
Florida,2008,"SEC",0
Florida Atlantic,2007,"Sun Belt",1
Florida Atlantic,2017,"Big West",0
Florida Atlantic,2019,"Big West",0
Florida State,1992,"ACC",0
Florida State,1993,"ACC",0
Florida State,1994,"ACC",0
Florida State,1995,"ACC",1
Florida State,1996,"ACC",0
Florida State,1997,"ACC",0
Florida State,1998,"ACC",1
Florida State,1999,"ACC",0
Florida State,2000,"ACC",0
Florida State,2002,"ACC",0
Florida State,2003,"ACC",0
Florida State,2005,"ACC",0
Florida State,2012,"ACC",0
Florida State,2013,"ACC",0
Florida State,2014,"ACC",0
Florida State,2023,"ACC",0
Fresno State,1977,"Big West",0
Fresno State,1982,"Big West",0
Fresno State,1985,"Big West",0
Fresno State,1988,"Big West",0
Fresno State,1989,"Big West",0
Fresno State,1991,"Big West",1
Fresno State,1992,"WAC",1
Fresno State,1993,"WAC",1
Fresno State,1999,"WAC",1
Fresno State,2012,"Mountain West",1
Fresno State,2013,"Mountain West",0
Fresno State,2018,"Mountain West",0
Fresno State,2022,"Mountain West",0
Georgia,1942,"SEC",0
Georgia,1946,"SEC",1
Georgia,1948,"SEC",0
Georgia,1952,"SEC",0
Georgia,1959,"SEC",0
Georgia,1964,"SEC",1
Georgia,1968,"SEC",0
Georgia,1976,"SEC",1
Georgia,1980,"SEC",0
Georgia,1981,"SEC",1
Georgia,1982,"SEC",0
Georgia,2002,"SEC",0
Georgia,2022,"SEC",0
Georgia,2024,"SEC",0
Georgia,2025,"SEC",1
Georgia Southern,1993,"Southern",0
Georgia Southern,1997,"Southern",0
Georgia Southern,1998,"Southern",0
Georgia Southern,1999,"Southern",1
Georgia Southern,2000,"Southern",0
Georgia Southern,2001,"Southern",0
Georgia Southern,2002,"Southern",0
Georgia Southern,2004,"Southern",0
Georgia Southern,2011,"Southern",0
Georgia Southern,2012,"Southern",1
Georgia Southern,2014,"Sun Belt",0
Georgia Tech,1922,"Southern",0
Georgia Tech,1927,"Southern",0
Georgia Tech,1928,"Southern",0
Georgia Tech,1939,"SEC",1
Georgia Tech,1943,"SEC",0
Georgia Tech,1944,"SEC",0
Georgia Tech,1951,"SEC",1
Georgia Tech,1990,"ACC",0
Georgia Tech,1998,"ACC",1
Georgia Tech,2009,"ACC",0
Hawaii,1992,"WAC",1
Hawaii,2007,"WAC",0
Hawaii,2010,"WAC",1
Houston,1952,"Missouri Valley",0
Houston,1956,"Missouri Valley",0
Houston,1957,"Missouri Valley",0
Houston,1959,"Missouri Valley",1
Houston,1976,"Southwest",1
Houston,1978,"Southwest",0
Houston,1979,"Southwest",1
Houston,1984,"Southwest",1
Houston,1996,"Big West",1
Houston,2006,"Big West",0
Houston,2011,"Big East",1
Houston,2015,"American",0
Illinois,1910,"Big Ten",1
Illinois,1914,"Big Ten",0
Illinois,1915,"Big Ten",1
Illinois,1918,"Big Ten",1
Illinois,1919,"Big Ten",0
Illinois,1923,"Big Ten",1
Illinois,1927,"Big Ten",1
Illinois,1928,"Big Ten",0
Illinois,1946,"Big Ten",0
Illinois,1951,"Big Ten",0
Illinois,1953,"Big Ten",1
Illinois,1963,"Big Ten",0
Illinois,1983,"Big Ten",0
Illinois,1990,"Big Ten",1
Illinois,2001,"Big Ten",0
Indiana,1945,"Big Ten",0
Indiana,1967,"Big Ten",1
Indiana,2025,"Big Ten",0
Iowa,1900,"Big Ten",1
Iowa,1907,"Big East",1
Iowa,1921,"Big Ten",0
Iowa,1922,"Big Ten",1
Iowa,1956,"Big Ten",0
Iowa,1958,"Big Ten",0
Iowa,1960,"Big Ten",1
Iowa,1981,"Big Ten",1
Iowa,1985,"Big Ten",0
Iowa,1990,"Big Ten",1
Iowa,2002,"Big Ten",1
Iowa,2004,"Big Ten",1
Iowa State,1911,"Big East",0
Iowa State,1912,"Big East",0
Jacksonville State,2003,"MVFC",0
Jacksonville State,2004,"MVFC",0
Jacksonville State,2011,"MVFC",0
Jacksonville State,2014,"MVFC",0
Jacksonville State,2015,"MVFC",0
Jacksonville State,2016,"MVFC",0
Jacksonville State,2017,"MVFC",0
Jacksonville State,2018,"MVFC",0
Jacksonville State,2020,"MVFC",0
Jacksonville State,2024,"Big West",0
James Madison,1999,"WAC",1
James Madison,2004,"WAC",1
James Madison,2015,"ASUN",0
James Madison,2016,"ASUN",1
James Madison,2017,"ASUN",1
James Madison,2019,"ASUN",0
James Madison,2021,"ASUN",1
James Madison,2025,"Sun Belt",0
Kansas,1908,"Big East",0
Kansas,1930,"Big East",0
Kansas,1946,"Big East",1
Kansas,1947,"Big East",1
Kansas,1968,"Big East",1
Kansas State,1934,"Big East",0
Kansas State,2003,"Big 12",0
Kansas State,2012,"Big 12",1
Kansas State,2022,"Big 12",0
Kennesaw State,2017,"ASUN",1
Kennesaw State,2018,"ASUN",0
Kennesaw State,2021,"ASUN",1
Kennesaw State,2025,"Big West",0
Kent State,1972,"MAC",0
Kentucky,1950,"SEC",0
Kentucky,1976,"SEC",1
Liberty,2007,"ASUN",0
Liberty,2008,"ASUN",0
Liberty,2009,"ASUN",0
Liberty,2010,"ASUN",1
Liberty,2012,"ASUN",1
Liberty,2014,"ASUN",1
Liberty,2016,"ASUN",1
Liberty,2023,"Big West",0
Louisiana,1976,"Southland",0
Louisiana,1993,"Big West",1
Louisiana,1994,"Big West",1
Louisiana,2005,"Sun Belt",1
Louisiana,2013,"Sun Belt",1
Louisiana,2020,"Sun Belt",1
Louisiana,2021,"Sun Belt",0
Louisiana Tech,1971,"Southland",0
Louisiana Tech,1972,"Southland",0
Louisiana Tech,1973,"Southland",0
Louisiana Tech,1974,"Southland",0
Louisiana Tech,1977,"Southland",0
Louisiana Tech,1978,"Southland",0
Louisiana Tech,1982,"Southland",0
Louisiana Tech,1984,"Southland",0
Louisiana Tech,2001,"WAC",0
Louisiana Tech,2011,"WAC",0
Louisville,1970,"Missouri Valley",0
Louisville,1972,"Missouri Valley",0
Louisville,2000,"Big West",0
Louisville,2001,"Big West",0
Louisville,2004,"Big West",0
Louisville,2006,"Big East",0
Louisville,2012,"Big East",1
LSU,1935,"SEC",0
LSU,1936,"SEC",0
LSU,1958,"SEC",0
LSU,1961,"SEC",1
LSU,1970,"SEC",0
LSU,1986,"SEC",0
LSU,1988,"SEC",1
LSU,2001,"SEC",0
LSU,2003,"SEC",0
LSU,2007,"SEC",0
LSU,2011,"SEC",0
LSU,2019,"SEC",0
Marshall,1988,"Southern",0
Marshall,1994,"Southern",0
Marshall,1996,"Southern",0
Marshall,1997,"MAC",0
Marshall,1998,"MAC",0
Marshall,1999,"MAC",0
Marshall,2000,"MAC",0
Marshall,2002,"MAC",0
Marshall,2014,"Big West",0
Marshall,2024,"Sun Belt",0
Maryland,1937,"Southern",0
Maryland,1951,"Southern",0
Maryland,1953,"ACC",1
Maryland,1955,"ACC",1
Maryland,1974,"ACC",0
Maryland,1975,"ACC",0
Maryland,1976,"ACC",0
Maryland,1983,"ACC",0
Maryland,1984,"ACC",0
Maryland,1985,"ACC",0
Maryland,2001,"ACC",0
Memphis,1968,"Missouri Valley",0
Memphis,1969,"Missouri Valley",0
Memphis,1971,"Missouri Valley",0
Memphis,2014,"American",1
Memphis,2019,"American",0
Miami (FL),1991,"Big East",1
Miami (FL),1992,"Big East",1
Miami (FL),1994,"Big East",1
Miami (FL),1995,"Big East",1
Miami (FL),1996,"Big East",1
Miami (FL),2000,"Big East",0
Miami (FL),2001,"Big East",0
Miami (FL),2002,"Big East",0
Miami (FL),2003,"Big East",1
Miami (FL),2023,"MAC",0
Miami (OH),1948,"MAC",0
Miami (OH),1950,"MAC",0
Miami (OH),1954,"MAC",0
Miami (OH),1955,"MAC",0
Miami (OH),1957,"MAC",0
Miami (OH),1958,"MAC",0
Miami (OH),1965,"MAC",1
Miami (OH),1966,"MAC",1
Miami (OH),1973,"MAC",0
Miami (OH),1974,"MAC",0
Miami (OH),1975,"MAC",0
Miami (OH),1977,"MAC",0
Miami (OH),1986,"MAC",0
Miami (OH),2003,"MAC",0
Miami (OH),2010,"MAC",0
Miami (OH),2019,"MAC",0
Michigan,1898,"Big Ten",0
Michigan,1901,"Big Ten",1
Michigan,1902,"Big Ten",0
Michigan,1903,"Big Ten",1
Michigan,1904,"Big Ten",1
Michigan,1906,"Big Ten",1
Michigan,1918,"Big Ten",1
Michigan,1922,"Big Ten",1
Michigan,1923,"Big Ten",1
Michigan,1925,"Big Ten",0
Michigan,1926,"Big Ten",1
Michigan,1930,"Big Ten",1
Michigan,1931,"Big Ten",1
Michigan,1932,"Big Ten",0
Michigan,1933,"Big Ten",1
Michigan,1943,"Big Ten",1
Michigan,1947,"Big Ten",0
Michigan,1948,"Big Ten",0
Michigan,1949,"Big Ten",1
Michigan,1950,"Big Ten",0
Michigan,1964,"Big Ten",0
Michigan,1969,"Big Ten",1
Michigan,1971,"Big Ten",0
Michigan,1972,"Big Ten",1
Michigan,1973,"Big Ten",1
Michigan,1974,"Big Ten",1
Michigan,1976,"Big Ten",1
Michigan,1977,"Big Ten",1
Michigan,1978,"Big Ten",1
Michigan,1980,"Big Ten",0
Michigan,1982,"Big Ten",0
Michigan,1986,"Big Ten",1
Michigan,1988,"Big Ten",0
Michigan,1989,"Big Ten",0
Michigan,1990,"Big Ten",1
Michigan,1991,"Big Ten",0
Michigan,1992,"Big Ten",0
Michigan,1997,"Big Ten",0
Michigan,1998,"Big Ten",1
Michigan,2000,"Big Ten",1
Michigan,2003,"Big Ten",0
Michigan,2004,"Big Ten",1
Michigan,2021,"Big Ten",0
Michigan,2022,"Big Ten",0
Michigan,2023,"Big Ten",0
Michigan State,1953,"Big Ten",1
Michigan State,1965,"Big Ten",0
Michigan State,1966,"Big Ten",0
Michigan State,1978,"Big Ten",1
Michigan State,1987,"Big Ten",0
Michigan State,1990,"Big Ten",1
Michigan State,2010,"Big Ten",1
Michigan State,2013,"Big Ten",0
Michigan State,2015,"Big Ten",0
Middle Tennessee,1956,"MVFC",0
Middle Tennessee,1957,"MVFC",0
Middle Tennessee,1958,"MVFC",0
Middle Tennessee,1959,"MVFC",0
Middle Tennessee,1964,"MVFC",0
Middle Tennessee,1965,"MVFC",0
Middle Tennessee,1985,"MVFC",0
Middle Tennessee,1989,"MVFC",1
Middle Tennessee,1990,"MVFC",0
Middle Tennessee,1992,"MVFC",0
Middle Tennessee,2001,"Sun Belt",1
Middle Tennessee,2006,"Sun Belt",1
Minnesota,1900,"Big Ten",1
Minnesota,1903,"Big Ten",1
Minnesota,1904,"Big Ten",1
Minnesota,1906,"Big Ten",1
Minnesota,1909,"Big Ten",0
Minnesota,1910,"Big Ten",1
Minnesota,1911,"Big Ten",0
Minnesota,1915,"Big Ten",1
Minnesota,1927,"Big Ten",1
Minnesota,1933,"Big Ten",1
Minnesota,1934,"Big Ten",0
Minnesota,1935,"Big Ten",1
Minnesota,1937,"Big Ten",0
Minnesota,1938,"Big Ten",0
Minnesota,1940,"Big Ten",0
Minnesota,1941,"Big Ten",0
Minnesota,1960,"Big Ten",1
Minnesota,1967,"Big Ten",1
Mississippi State,1941,"SEC",0
Missouri,1909,"Big East",0
Missouri,1913,"Big East",0
Missouri,1919,"Big East",0
Missouri,1924,"Big East",0
Missouri,1925,"Big East",0
Missouri,1927,"Big East",0
Missouri,1939,"Big East",0
Missouri,1941,"Big East",0
Missouri,1942,"Big East",0
Missouri,1945,"Big East",0
Missouri,1960,"Big East",0
Missouri,1969,"Big East",1
Missouri State,1989,"MVFC",1
Nebraska,1907,"Big East",1
Nebraska,1910,"Big East",0
Nebraska,1914,"Big East",0
Nebraska,1915,"Big East",0
Nebraska,1916,"Big East",0
Nebraska,1917,"Big East",0
Nebraska,1921,"Big East",0
Nebraska,1922,"Big East",0
Nebraska,1923,"Big East",0
Nebraska,1928,"Big East",0
Nebraska,1929,"Big East",0
Nebraska,1931,"Big East",0
Nebraska,1932,"Big East",0
Nebraska,1933,"Big East",0
Nebraska,1935,"Big East",0
Nebraska,1936,"Big East",0
Nebraska,1937,"Big East",0
Nebraska,1940,"Big East",0
Nebraska,1963,"Big East",0
Nebraska,1964,"Big East",0
Nebraska,1965,"Big East",0
Nebraska,1966,"Big East",0
Nebraska,1969,"Big East",1
Nebraska,1970,"Big East",0
Nebraska,1971,"Big East",0
Nebraska,1972,"Big East",0
Nebraska,1975,"Big East",1
Nebraska,1978,"Big East",1
Nebraska,1981,"Big East",0
Nebraska,1982,"Big East",0
Nebraska,1983,"Big East",0
Nebraska,1984,"Big East",1
Nebraska,1988,"Big East",0
Nebraska,1991,"Big East",1
Nebraska,1992,"Big East",1
Nebraska,1993,"Big East",1
Nebraska,1994,"Big East",1
Nebraska,1995,"Big East",1
Nebraska,1997,"Big 12",0
Nebraska,1999,"Big 12",0
Nevada,1983,"ASUN",0
Nevada,1986,"ASUN",0
Nevada,1990,"ASUN",0
Nevada,1991,"ASUN",0
Nevada,1992,"Big West",0
Nevada,1994,"Big West",1
Nevada,1995,"Big West",0
Nevada,1996,"Big West",1
Nevada,1997,"Big West",1
Nevada,2010,"WAC",1
New Mexico,1962,"WAC",0
New Mexico,1963,"WAC",1
New Mexico,1964,"WAC",1
New Mexico State,1938,"Big West",0
New Mexico State,1976,"Missouri Valley",1
New Mexico State,1978,"Missouri Valley",0
North Carolina,1946,"Southern",0
North Carolina,1949,"Southern",0
North Carolina,1963,"ACC",1
North Carolina,1971,"ACC",0
North Carolina,1972,"ACC",0
North Carolina,1977,"ACC",0
North Carolina,1980,"ACC",0
North Carolina State,1957,"ACC",0
North Carolina State,1963,"ACC",1
North Carolina State,1964,"ACC",0
North Carolina State,1965,"ACC",1
North Carolina State,1968,"ACC",0
North Carolina State,1973,"ACC",0
North Carolina State,1979,"ACC",0
North Texas,1958,"Missouri Valley",0
North Texas,1959,"Missouri Valley",1
North Texas,1966,"Missouri Valley",0
North Texas,1967,"Missouri Valley",0
North Texas,1973,"Missouri Valley",0
North Texas,1983,"Southland",0
North Texas,1994,"Southland",0
North Texas,2001,"Sun Belt",1
North Texas,2002,"Sun Belt",0
North Texas,2003,"Sun Belt",0
North Texas,2004,"Sun Belt",0
Northern Illinois,1983,"MAC",0
Northern Illinois,2011,"MAC",0
Northern Illinois,2012,"MAC",0
Northern Illinois,2014,"MAC",0
Northern Illinois,2018,"MAC",0
Northern Illinois,2021,"MAC",0
Northwestern,1903,"Big Ten",1
Northwestern,1926,"Big Ten",1
Northwestern,1930,"Big Ten",1
Northwestern,1931,"Big Ten",1
Northwestern,1936,"Big Ten",0
Northwestern,1995,"Big Ten",0
Northwestern,1996,"Big Ten",1
Northwestern,2000,"Big Ten",1
Ohio,1953,"MAC",0
Ohio,1960,"MAC",0
Ohio,1963,"MAC",0
Ohio,1967,"MAC",1
Ohio,1968,"MAC",0
Ohio,2024,"MAC",0
Ohio State,1916,"Big Ten",0
Ohio State,1917,"Big Ten",0
Ohio State,1920,"Big Ten",0
Ohio State,1935,"Big Ten",1
Ohio State,1939,"Big Ten",0
Ohio State,1942,"Big Ten",0
Ohio State,1944,"Big Ten",0
Ohio State,1949,"Big Ten",1
Ohio State,1954,"Big Ten",0
Ohio State,1955,"Big Ten",0
Ohio State,1957,"Big Ten",0
Ohio State,1961,"Big Ten",0
Ohio State,1968,"Big Ten",0
Ohio State,1969,"Big Ten",1
Ohio State,1970,"Big Ten",0
Ohio State,1972,"Big Ten",1
Ohio State,1973,"Big Ten",1
Ohio State,1974,"Big Ten",1
Ohio State,1975,"Big Ten",0
Ohio State,1976,"Big Ten",1
Ohio State,1977,"Big Ten",1
Ohio State,1979,"Big Ten",0
Ohio State,1981,"Big Ten",1
Ohio State,1984,"Big Ten",0
Ohio State,1986,"Big Ten",1
Ohio State,1993,"Big Ten",1
Ohio State,1996,"Big Ten",1
Ohio State,1998,"Big Ten",1
Ohio State,2002,"Big Ten",1
Ohio State,2005,"Big Ten",1
Ohio State,2006,"Big Ten",0
Ohio State,2007,"Big Ten",0
Ohio State,2008,"Big Ten",1
Ohio State,2009,"Big Ten",0
Ohio State,2014,"Big Ten",0
Ohio State,2017,"Big Ten",0
Ohio State,2018,"Big Ten",0
Ohio State,2019,"Big Ten",0
Ohio State,2020,"Big Ten",0
Oklahoma,1915,"Southwest",0
